 A Ne Acoef    Bcoef    T0coef   T1coef     species  stg specion
26 19 1.50E-01 4.20E+00 2.62E+05 1.32E+06   iron       8 FeVIII
26 18 1.40E-01 3.30E+00 2.50E+05 1.33E+06   iron       9 FeIX
26 17 1.00E-01 5.30E+00 2.57E+05 1.41E+06   iron      10 FeX
26 16 2.00E-01 1.50E+00 2.84E+05 1.52E+06   iron      11 FeXI
26 15 2.40E-01 7.00E-01 8.69E+05 1.51E+06   iron      12 FeXII
26 14 2.60E-01 6.00E-01 4.21E+05 1.82E+06   iron      13 FeXIII
26 13 1.90E-01 5.00E-01 4.57E+05 1.84E+06   iron      14 FeXIV
26 12 1.20E-01 1.00E+00 2.85E+05 2.31E+06   iron      15 FeX
26 11 3.50E-01 0.00E+00 8.18E+06 1.00E+05   iron      16 FeXI
26 10 6.60E-02 7.80E+00 1.51E+06 9.98E+06   iron      17 FeXII
26  9 1.00E-01 6.30E+00 1.30E+06 9.98E+06   iron      18 FeXIII
26  8 1.30E-01 5.50E+00 1.19E+06 1.00E+07   iron      19 FeXIX
26  7 2.30E-01 3.60E+00 1.09E+06 1.10E+07   iron      20 FeXX
26  6 1.40E-01 4.90E+00 9.62E+05 8.34E+06   iron      21 FeXXI
26  5 1.10E-01 1.60E+00 7.23E+05 1.01E+07   iron      22 FeXXII
26  4 4.10E-02 4.20E+00 4.23E+05 1.07E+07   iron      23 FeXXIII
26  3 7.47E-01 2.84E-01 5.84E+07 1.17E+07   iron      24 FeXXIV
26  2 3.69E-01 0.00E+00 6.00E+07 1.00E+05   iron      25 FeXXV
28 28 1.41E-03 4.69E-01 9.82E+04 1.01E+05   nickel     1 NiI
28 27 5.20E-03 3.57E-01 2.01E+05 1.91E+05   nickel     2 NiII
28 26 1.38E-02 2.81E-01 3.05E+05 2.32E+05   nickel     3 NiIII
28 25 2.30E-02 1.28E-01 4.20E+05 3.18E+05   nickel     4 NiIV
28 24 4.19E-02 4.17E-02 5.56E+05 4.55E+05   nickel     5 NiV
28 23 6.83E-02 5.58E-02 6.72E+05 5.51E+05   nickel     6 NiVI
28 22 1.22E-01 3.46E-02 7.93E+05 5.28E+05   nickel     7 NiVII
28 21 3.00E-01 0.00E+00 9.00E+05 1.00E+05   nickel     8 NiVIII
28 20 1.50E-01 1.90E+00 1.00E+06 5.50E+05   nickel     9 NiIX
28 19 6.97E-01 2.77E-01 7.81E+05 8.87E+05   nickel    10 NiX
28 18 7.09E-01 1.35E-01 7.64E+05 1.80E+06   nickel    11 NiXI
28 17 6.44E-01 1.34E-01 7.44E+05 1.25E+06   nickel    12 NiXII
28 16 5.25E-01 1.92E-01 6.65E+05 1.89E+06   nickel    13 NiXIII
28 15 4.46E-01 3.32E-01 5.97E+05 8.84E+05   nickel    14 NiXIV
28 14 3.63E-01 3.37E-01 5.24E+05 1.29E+06   nickel    15 NiXV
28 13 3.02E-01 1.21E-01 4.96E+05 6.24E+05   nickel    16 NiXVI
28 12 1.02E-01 5.14E-02 4.46E+05 1.59E+06   nickel    17 NiXVII
28 11 2.70E-01 1.83E-01 8.49E+06 8.01E+06   nickel    18 NiXVIII
28 10 4.67E-02 7.56E+00 1.36E+06 9.32E+06   nickel    19 NiXIX
28  9 8.35E-02 4.55E+00 1.23E+06 9.45E+06   nickel    20 NiXX
28  8 9.96E-02 4.87E+00 1.06E+06 9.45E+06   nickel    21 NiXXI
28  7 1.99E-01 2.19E+00 1.25E+06 8.01E+06   nickel    22 NiXXII
28  6 2.40E-01 1.15E+00 1.23E+06 7.57E+06   nickel    23 NiXXIII
28  5 1.15E-01 1.23E+00 3.32E+05 2.64E+06   nickel    24 NiXIV
28  4 3.16E-02 1.32E-01 6.45E+05 1.93E+06   nickel    25 NiXV
28  3 8.03E-01 2.89E-01 6.65E+07 1.19E+07   nickel    26 NiXVI
28  2 5.75E-01 2.86E-01 6.81E+07 9.08E+06   nickel    27 NiXVII
